name,value,sign,magnitude,unit,uncertainty,is_dimensionless,sparse_signed_predicted,sparse_magnitude_predicted,sparse_relative_error_percent,sparse_log10_error,sparse_pass_1_percent,sparse_pass_0_1_percent,sparse_complexity,sparse_formula,exact_calibration_coefficient,exact_calibrated_predicted,exact_calibrated_relative_error_percent,status
atomic mass unit-hertz relationship,2.25234272185e+23,1,2.25234272185e+23,Hz,70000000000000.0,False,1.7880638506038924e+23,1.7880638506038924e+23,20.613153883826534,0.1002514513816008,False,False,9,sign(1) * 1 * dict^3 * total_bits^3 * f1^3,1.259654525809749,2.25234272185e+23,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic mass unit-inverse meter relationship,751300662090000.0,1,751300662090000.0,m^-1,230000.0,False,746106403961069.4,746106403961069.4,0.6913687676623388,0.0030130039348845892,True,False,6,sign(1) * 1 * dict^3 * checksum^1 * f1^2,1.0069618195224628,751300662090000.0,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic mass unit-joule relationship,1.49241808768e-10,1,1.49241808768e-10,J,4.6e-20,False,1.505167797358349e-10,1.505167797358349e-10,0.8542987909084291,0.0036944142134524077,True,False,4,sign(1) * 1 * K^-1 * dict^-2 * total_bits^-1,0.9915293765248464,1.49241808768e-10,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic mass unit-kelvin relationship,10809540206700.0,1,10809540206700.0,K,3400.0,False,10795205072709.818,10795205072709.818,0.13261557583454286,0.0005763243604489315,True,False,7,sign(1) * 1 * bits^-1 * dict^3 * words^3,1.0013279167828335,10809540206700.0,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic mass unit-kilogram relationship,1.66053906892e-27,1,1.66053906892e-27,kg,5.2e-37,False,3.771190459990763e-25,3.771190459990763e-25,22610.639758951966,2.3562293684720084,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,0.00440322250105625,1.66053906892e-27,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of 1st hyperpolarizability,3.2063612996e-53,1,3.2063612996e-53,C^3 m^3 J^-2,1.5e-62,False,3.771190459990763e-25,3.771190459990763e-25,1.1761589252157037e+30,28.07046600854362,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,8.50225236199779e-29,3.2063612996e-53,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of 1st hyperpolarizablity,3.20636151e-53,1,3.20636151e-53,C^3 m^3 J^-2,2.8e-60,False,3.771190459990763e-25,3.771190459990763e-25,1.1761588480366843e+30,28.07046598004541,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,8.502252919911802e-29,3.20636151e-53,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of 2nd hyperpolarizability,6.2353799735e-65,1,6.2353799735e-65,C^4 m^4 J^-3,3.9e-74,False,3.771190459990763e-25,3.771190459990763e-25,6.048052365722862e+41,39.781615542752085,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,1.6534248375021805e-40,6.2353799735e-65,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of 2nd hyperpolarizablity,6.2353808e-65,1,6.2353808e-65,C^4 m^4 J^-3,1.1e-71,False,3.771190459990763e-25,3.771190459990763e-25,6.0480515640532545e+41,39.78161548518633,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,1.6534250566637445e-40,6.2353808e-65,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of action,1.0545718176461565e-34,1,1.0545718176461565e-34,J s,0.0,False,3.771190459990763e-25,3.771190459990763e-25,357603948430.33344,9.553402305469149,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,2.796389704615289e-10,1.0545718176461565e-34,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of charge,1.602176634e-19,1,1.602176634e-19,C,0.0,False,1.636097905766929e-19,1.636097905766929e-19,2.117199255505381,0.009098895002567893,False,False,7,sign(1) * 1 * dict^-3 * entropy^-2 * f1^-2,0.9792669670639127,1.602176634e-19,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of charge density,1081202386770.0,1,1081202386770.0,C m^-3,510.0,False,1092929302677.3477,1092929302677.3477,1.0846180188688648,0.004685074307426253,False,False,5,sign(1) * 1 * dict^2 * words^1 * f1^2,0.9892701971860208,1081202386770.0,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of current,0.0066236182375082,1,0.0066236182375082,A,7.2e-15,False,0.006631455962162306,0.006631455962162306,0.11832995763135173,0.000513596666964838,True,False,3,sign(1) * 1 * pi^-1 * K^-1 * checksum^-1,0.9988180989666785,0.0066236182375082,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
