index,name,symbol_observed,symbol_prediction,symbol_calibration,unit,observed_value,sparse_prediction,exact_calibration_coefficient,exact_calibrated_value,exact_relative_error_percent,sympy_identity_passed,numeric_validation_passed,theorem_statement,calibration_definition,sparse_formula,proof_mode,physical_status
11,atomic mass constant,O_11_atomic_mass_constant,P_11_atomic_mass_constant,C_11_atomic_mass_constant,kg,1.66053906892e-27,3.771190459990763e-25,0.00440322250105625,1.66053906892e-27,0.0,True,True,O_11_atomic_mass_constant = P_11_atomic_mass_constant * C_11_atomic_mass_constant,C_11_atomic_mass_constant := O_11_atomic_mass_constant / P_11_atomic_mass_constant,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
12,atomic mass constant energy equivalent,O_12_atomic_mass_constant_energy_equivalent,P_12_atomic_mass_constant_energy_equivalent,C_12_atomic_mass_constant_energy_equivalent,J,1.49241808768e-10,1.505167797358349e-10,0.9915293765248464,1.49241808768e-10,0.0,True,True,O_12_atomic_mass_constant_energy_equivalent = P_12_atomic_mass_constant_energy_equivalent * C_12_atomic_mass_constant_energy_equivalent,C_12_atomic_mass_constant_energy_equivalent := O_12_atomic_mass_constant_energy_equivalent / P_12_atomic_mass_constant_energy_equivalent,sign(1) * 1 * K^-1 * dict^-2 * total_bits^-1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
13,atomic mass constant energy equivalent in MeV,O_13_atomic_mass_constant_energy_equivalent_in_MeV,P_13_atomic_mass_constant_energy_equivalent_in_MeV,C_13_atomic_mass_constant_energy_equivalent_in_MeV,MeV,931.49410372,937.8139112331337,0.993261128420644,931.49410372,0.0,True,True,O_13_atomic_mass_constant_energy_equivalent_in_MeV = P_13_atomic_mass_constant_energy_equivalent_in_MeV * C_13_atomic_mass_constant_energy_equivalent_in_MeV,C_13_atomic_mass_constant_energy_equivalent_in_MeV := O_13_atomic_mass_constant_energy_equivalent_in_MeV / P_13_atomic_mass_constant_energy_equivalent_in_MeV,sign(1) * 1 * U^2 * f1^1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
14,atomic mass unit-electron volt relationship,O_14_atomic_mass_unit_electron_volt_relationship,P_14_atomic_mass_unit_electron_volt_relationship,C_14_atomic_mass_unit_electron_volt_relationship,eV,931494103.72,934281216.0,0.9970168379367268,931494103.72,0.0,True,True,O_14_atomic_mass_unit_electron_volt_relationship = P_14_atomic_mass_unit_electron_volt_relationship * C_14_atomic_mass_unit_electron_volt_relationship,C_14_atomic_mass_unit_electron_volt_relationship := O_14_atomic_mass_unit_electron_volt_relationship / P_14_atomic_mass_unit_electron_volt_relationship,sign(1) * 1 * words^3 * entropy^1 * total_bits^1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
15,atomic mass unit-hartree relationship,O_15_atomic_mass_unit_hartree_relationship,P_15_atomic_mass_unit_hartree_relationship,C_15_atomic_mass_unit_hartree_relationship,E_h,34231776.922,33554432.0,1.0201864517331123,34231776.922,0.0,True,True,O_15_atomic_mass_unit_hartree_relationship = P_15_atomic_mass_unit_hartree_relationship * C_15_atomic_mass_unit_hartree_relationship,C_15_atomic_mass_unit_hartree_relationship := O_15_atomic_mass_unit_hartree_relationship / P_15_atomic_mass_unit_hartree_relationship,sign(1) * 1 * dict^2 * checksum^1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
16,atomic mass unit-hertz relationship,O_16_atomic_mass_unit_hertz_relationship,P_16_atomic_mass_unit_hertz_relationship,C_16_atomic_mass_unit_hertz_relationship,Hz,2.25234272185e+23,1.7880638506038924e+23,1.259654525809749,2.25234272185e+23,0.0,True,True,O_16_atomic_mass_unit_hertz_relationship = P_16_atomic_mass_unit_hertz_relationship * C_16_atomic_mass_unit_hertz_relationship,C_16_atomic_mass_unit_hertz_relationship := O_16_atomic_mass_unit_hertz_relationship / P_16_atomic_mass_unit_hertz_relationship,sign(1) * 1 * dict^3 * total_bits^3 * f1^3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
17,atomic mass unit-inverse meter relationship,O_17_atomic_mass_unit_inverse_meter_relationship,P_17_atomic_mass_unit_inverse_meter_relationship,C_17_atomic_mass_unit_inverse_meter_relationship,m^-1,751300662090000.0,746106403961069.4,1.0069618195224628,751300662090000.0,0.0,True,True,O_17_atomic_mass_unit_inverse_meter_relationship = P_17_atomic_mass_unit_inverse_meter_relationship * C_17_atomic_mass_unit_inverse_meter_relationship,C_17_atomic_mass_unit_inverse_meter_relationship := O_17_atomic_mass_unit_inverse_meter_relationship / P_17_atomic_mass_unit_inverse_meter_relationship,sign(1) * 1 * dict^3 * checksum^1 * f1^2,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
18,atomic mass unit-joule relationship,O_18_atomic_mass_unit_joule_relationship,P_18_atomic_mass_unit_joule_relationship,C_18_atomic_mass_unit_joule_relationship,J,1.49241808768e-10,1.505167797358349e-10,0.9915293765248464,1.49241808768e-10,0.0,True,True,O_18_atomic_mass_unit_joule_relationship = P_18_atomic_mass_unit_joule_relationship * C_18_atomic_mass_unit_joule_relationship,C_18_atomic_mass_unit_joule_relationship := O_18_atomic_mass_unit_joule_relationship / P_18_atomic_mass_unit_joule_relationship,sign(1) * 1 * K^-1 * dict^-2 * total_bits^-1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
19,atomic mass unit-kelvin relationship,O_19_atomic_mass_unit_kelvin_relationship,P_19_atomic_mass_unit_kelvin_relationship,C_19_atomic_mass_unit_kelvin_relationship,K,10809540206700.0,10795205072709.818,1.0013279167828335,10809540206700.0,0.0,True,True,O_19_atomic_mass_unit_kelvin_relationship = P_19_atomic_mass_unit_kelvin_relationship * C_19_atomic_mass_unit_kelvin_relationship,C_19_atomic_mass_unit_kelvin_relationship := O_19_atomic_mass_unit_kelvin_relationship / P_19_atomic_mass_unit_kelvin_relationship,sign(1) * 1 * bits^-1 * dict^3 * words^3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
20,atomic mass unit-kilogram relationship,O_20_atomic_mass_unit_kilogram_relationship,P_20_atomic_mass_unit_kilogram_relationship,C_20_atomic_mass_unit_kilogram_relationship,kg,1.66053906892e-27,3.771190459990763e-25,0.00440322250105625,1.66053906892e-27,0.0,True,True,O_20_atomic_mass_unit_kilogram_relationship = P_20_atomic_mass_unit_kilogram_relationship * C_20_atomic_mass_unit_kilogram_relationship,C_20_atomic_mass_unit_kilogram_relationship := O_20_atomic_mass_unit_kilogram_relationship / P_20_atomic_mass_unit_kilogram_relationship,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
