index,name,symbol_observed,symbol_prediction,symbol_calibration,unit,observed_value,sparse_prediction,exact_calibration_coefficient,exact_calibrated_value,exact_relative_error_percent,sympy_identity_passed,numeric_validation_passed,theorem_statement,calibration_definition,sparse_formula,proof_mode,physical_status
31,atomic unit of electric field,O_31_atomic_unit_of_electric_field,P_31_atomic_unit_of_electric_field,C_31_atomic_unit_of_electric_field,V m^-1,514220675112.0,516942105988.34894,0.9947355209706785,514220675112.0,0.0,True,True,O_31_atomic_unit_of_electric_field = P_31_atomic_unit_of_electric_field * C_31_atomic_unit_of_electric_field,C_31_atomic_unit_of_electric_field := O_31_atomic_unit_of_electric_field / P_31_atomic_unit_of_electric_field,sign(1) * 1 * dict^3 * bip_density^-2,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
32,atomic unit of electric field gradient,O_32_atomic_unit_of_electric_field_gradient,P_32_atomic_unit_of_electric_field_gradient,C_32_atomic_unit_of_electric_field_gradient,V m^-2,9.7173624424e+21,1.004425214813485e+22,0.9674550478309575,9.7173624424e+21,0.0,True,True,O_32_atomic_unit_of_electric_field_gradient = P_32_atomic_unit_of_electric_field_gradient * C_32_atomic_unit_of_electric_field_gradient,C_32_atomic_unit_of_electric_field_gradient := O_32_atomic_unit_of_electric_field_gradient / P_32_atomic_unit_of_electric_field_gradient,sign(1) * 1 * dict^3 * entropy^3 * total_bits^2,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
33,atomic unit of electric polarizability,O_33_atomic_unit_of_electric_polarizability,P_33_atomic_unit_of_electric_polarizability,C_33_atomic_unit_of_electric_polarizability,C^2 m^2 J^-1,1.64877727212e-41,3.771190459990763e-25,4.372033949523829e-17,1.64877727212e-41,0.0,True,True,O_33_atomic_unit_of_electric_polarizability = P_33_atomic_unit_of_electric_polarizability * C_33_atomic_unit_of_electric_polarizability,C_33_atomic_unit_of_electric_polarizability := O_33_atomic_unit_of_electric_polarizability / P_33_atomic_unit_of_electric_polarizability,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
34,atomic unit of electric polarizablity,O_34_atomic_unit_of_electric_polarizablity,P_34_atomic_unit_of_electric_polarizablity,C_34_atomic_unit_of_electric_polarizablity,C^2 m^2 J^-1,1.648777274e-41,3.771190459990763e-25,4.372033954508992e-17,1.648777274e-41,0.0,True,True,O_34_atomic_unit_of_electric_polarizablity = P_34_atomic_unit_of_electric_polarizablity * C_34_atomic_unit_of_electric_polarizablity,C_34_atomic_unit_of_electric_polarizablity := O_34_atomic_unit_of_electric_polarizablity / P_34_atomic_unit_of_electric_polarizablity,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
35,atomic unit of electric potential,O_35_atomic_unit_of_electric_potential,P_35_atomic_unit_of_electric_potential,C_35_atomic_unit_of_electric_potential,V,27.211386245981,27.162443621016806,1.0018018491136904,27.211386245981,0.0,True,True,O_35_atomic_unit_of_electric_potential = P_35_atomic_unit_of_electric_potential * C_35_atomic_unit_of_electric_potential,C_35_atomic_unit_of_electric_potential := O_35_atomic_unit_of_electric_potential / P_35_atomic_unit_of_electric_potential,sign(1) * 1 * pi^-1 * bits^1 * bip_density^-1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
36,atomic unit of electric quadrupole mom.,O_36_atomic_unit_of_electric_quadrupole_mom,P_36_atomic_unit_of_electric_quadrupole_mom,C_36_atomic_unit_of_electric_quadrupole_mom,C m^2,4.4865515185e-40,3.771190459990763e-25,1.1896910448036585e-15,4.4865515185e-40,0.0,True,True,O_36_atomic_unit_of_electric_quadrupole_mom = P_36_atomic_unit_of_electric_quadrupole_mom * C_36_atomic_unit_of_electric_quadrupole_mom,C_36_atomic_unit_of_electric_quadrupole_mom := O_36_atomic_unit_of_electric_quadrupole_mom / P_36_atomic_unit_of_electric_quadrupole_mom,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
37,atomic unit of electric quadrupole moment,O_37_atomic_unit_of_electric_quadrupole_moment,P_37_atomic_unit_of_electric_quadrupole_moment,C_37_atomic_unit_of_electric_quadrupole_moment,C m^2,4.48655124e-40,3.771190459990763e-25,1.1896909709542989e-15,4.48655124e-40,0.0,True,True,O_37_atomic_unit_of_electric_quadrupole_moment = P_37_atomic_unit_of_electric_quadrupole_moment * C_37_atomic_unit_of_electric_quadrupole_moment,C_37_atomic_unit_of_electric_quadrupole_moment := O_37_atomic_unit_of_electric_quadrupole_moment / P_37_atomic_unit_of_electric_quadrupole_moment,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
38,atomic unit of energy,O_38_atomic_unit_of_energy,P_38_atomic_unit_of_energy,C_38_atomic_unit_of_energy,J,4.359744722206e-18,4.287632120861194e-18,1.0168187473440053,4.359744722206e-18,0.0,True,True,O_38_atomic_unit_of_energy = P_38_atomic_unit_of_energy * C_38_atomic_unit_of_energy,C_38_atomic_unit_of_energy := O_38_atomic_unit_of_energy / P_38_atomic_unit_of_energy,sign(1) * 1 * dict^-3 * words^-1 * f1^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
39,atomic unit of force,O_39_atomic_unit_of_force,P_39_atomic_unit_of_force,C_39_atomic_unit_of_force,N,8.2387235038e-08,8.195638656616211e-08,1.0052570457274868,8.2387235038e-08,0.0,True,True,O_39_atomic_unit_of_force = P_39_atomic_unit_of_force * C_39_atomic_unit_of_force,C_39_atomic_unit_of_force := O_39_atomic_unit_of_force / P_39_atomic_unit_of_force,sign(1) * 1 * bits^1 * dict^-1 * entropy^-2,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
40,atomic unit of length,O_40_atomic_unit_of_length,P_40_atomic_unit_of_length,C_40_atomic_unit_of_length,m,5.29177210544e-11,5.335702250401179e-11,0.9917667547963577,5.29177210544e-11,0.0,True,True,O_40_atomic_unit_of_length = P_40_atomic_unit_of_length * C_40_atomic_unit_of_length,C_40_atomic_unit_of_length := O_40_atomic_unit_of_length / P_40_atomic_unit_of_length,sign(1) * 1 * bits^1 * dict^-3 * words^-1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
