name,unit,sector,split,observed,sparse_prediction,exact_calibration_coefficient,exact_prediction,exact_relative_error_percent,predicted_calibration_coefficient,predictive_prediction,predictive_relative_error_percent,predictive_log10_error,predictive_pass_1_percent,predictive_pass_10_percent,sparse_formula,status
atomic mass unit-kelvin relationship,K,thermodynamic_statistical,train,10809540206700.0,10795205072709.818,1.0013279167828335,10809540206700.0,0.0,3470.3911258850894,3.746358388644186e+16,346478.8846709786,3.539802099779452,False,False,sign(1) * 1 * bits^-1 * dict^3 * words^3,EXACT_SYMBOLIC_OK
atomic mass unit-kilogram relationship,kg,general_dimensional,train,1.66053906892e-27,3.771190459990763e-25,0.00440322250105625,1.66053906892e-27,0.0,1.0782662034340582e-06,4.06634721972098e-31,99.97551188468955,3.61104463838575,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of 1st hyperpolarizability,C^3 m^3 J^-2,quantum_atomic,train,3.2063612996e-53,3.771190459990763e-25,8.50225236199779e-29,3.2063612996e-53,0.0,2.1015771367149298e-13,7.925447648914047e-38,2.471788706376527e+17,15.39301134361067,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of 1st hyperpolarizablity,C^3 m^3 J^-2,quantum_atomic,test,3.20636151e-53,3.771190459990763e-25,8.502252919911802e-29,3.20636151e-53,0.0,2.1015771367149298e-13,7.925447648914047e-38,2.471788544178864e+17,15.393011315112462,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of 2nd hyperpolarizability,C^4 m^4 J^-3,quantum_atomic,train,6.2353799735e-65,3.771190459990763e-25,1.6534248375021805e-40,6.2353799735e-65,0.0,3.6264631115998776e-21,1.3676083089973877e-45,2.193303880131833e+21,19.34109880692677,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of 2nd hyperpolarizablity,C^4 m^4 J^-3,quantum_atomic,train,6.2353808e-65,3.771190459990763e-25,1.6534250566637445e-40,6.2353808e-65,0.0,3.6264631115998776e-21,1.3676083089973877e-45,2.193303589409307e+21,19.341098749361013,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of action,J s,quantum_atomic,train,1.0545718176461565e-34,3.771190459990763e-25,2.796389704615289e-10,1.0545718176461565e-34,0.0,2.07100873185947e-09,7.810168372146e-34,640.6008999537449,0.8695842354540502,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of charge,C,quantum_atomic,test,1.602176634e-19,1.636097905766929e-19,0.9792669670639127,1.602176634e-19,0.0,1.3028548817611714e-05,2.1315981435676725e-24,99.99866956108438,4.8760050603978,False,False,sign(1) * 1 * dict^-3 * entropy^-2 * f1^-2,EXACT_SYMBOLIC_OK
atomic unit of charge density,C m^-3,quantum_atomic,train,1081202386770.0,1092929302677.3477,0.9892701971860208,1081202386770.0,0.0,3.630620894731549,3968011962764.76,266.99992631526254,0.5646659770562362,False,False,sign(1) * 1 * dict^2 * words^1 * f1^2,EXACT_SYMBOLIC_OK
atomic unit of current,A,quantum_atomic,train,0.0066236182375082,0.006631455962162306,0.9988180989666785,0.0066236182375082,0.0,0.026716815836596478,0.00017717138766959003,97.32515701665436,1.572701706527979,False,False,sign(1) * 1 * pi^-1 * K^-1 * checksum^-1,EXACT_SYMBOLIC_OK
atomic unit of electric dipole mom.,C m,quantum_atomic,train,8.4783536198e-30,3.771190459990763e-25,2.2481902491397285e-05,8.4783536198e-30,0.0,4.100744284666214e-07,1.5464687725194871e-31,98.1759798636991,1.7389703715799172,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of electric dipole moment,C m,quantum_atomic,train,8.47835309e-30,3.771190459990763e-25,2.248190108653586e-05,8.47835309e-30,0.0,4.100744284666214e-07,1.5464687725194871e-31,98.1759797497187,1.738970344441485,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of electric field,V m^-1,quantum_atomic,test,514220675112.0,516942105988.34894,0.9947355209706785,514220675112.0,0.0,4.796965478902256,2479753437017.141,382.23526533176397,0.6832589666780373,False,False,sign(1) * 1 * dict^3 * bip_density^-2,EXACT_SYMBOLIC_OK
atomic unit of electric field gradient,V m^-2,quantum_atomic,train,9.7173624424e+21,1.004425214813485e+22,0.9674550478309575,9.7173624424e+21,0.0,47.662339518070965,4.7873255608951685e+23,4826.568901049235,1.692544561039525,False,False,sign(1) * 1 * dict^3 * entropy^3 * total_bits^2,EXACT_SYMBOLIC_OK
atomic unit of electric polarizability,C^2 m^2 J^-1,quantum_atomic,train,1.64877727212e-41,3.771190459990763e-25,4.372033949523829e-17,1.64877727212e-41,0.0,8.480137226684117e-12,3.198021260868367e-36,19396220.624655064,5.287719354468418,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of electric polarizablity,C^2 m^2 J^-1,quantum_atomic,train,1.648777274e-41,3.771190459990763e-25,4.372033954508992e-17,1.648777274e-41,0.0,8.480137226684117e-12,3.198021260868367e-36,19396220.602538623,5.287719353973219,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of electric potential,V,quantum_atomic,train,27.211386245981,27.162443621016806,1.0018018491136904,27.211386245981,0.0,0.10583526026007946,2.8747442899300486,89.4355095916709,0.9761514468547593,False,False,sign(1) * 1 * pi^-1 * bits^1 * bip_density^-1,EXACT_SYMBOLIC_OK
atomic unit of electric quadrupole mom.,C m^2,quantum_atomic,train,4.4865515185e-40,3.771190459990763e-25,1.1896910448036585e-15,4.4865515185e-40,0.0,3.179092330863119e-11,1.1988962669580793e-35,2672099.933544749,4.426868948858465,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of electric quadrupole moment,C m^2,quantum_atomic,train,4.48655124e-40,3.771190459990763e-25,1.1896909709542989e-15,4.48655124e-40,0.0,3.179092330863119e-11,1.1988962669580793e-35,2672100.099419971,4.426868975817037,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
